source,json_pointer,id,target,resolution
death_sequences/cruiser0.death_sequence_group,/death_sequences/0,cruiser_001,death_sequences/cruiser_001.death_sequence,exact_stem
death_sequences/cruiser_001.death_sequence,/events/0/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/0/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/0/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/0/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/1/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/1/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/1/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/1/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/10/particle_effects/0,corvette_radialexplosion_revamp,effects/corvette_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/10/sounds/0,radialexplosion_corvette_01_large,sounds/RadialExplosion_Corvette_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/10/sounds/1,radialexplosion_corvette_02_large,sounds/RadialExplosion_Corvette_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/10/sounds/2,radialexplosion_corvette_03_large,sounds/RadialExplosion_Corvette_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/11/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/11/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/11/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/11/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/12/particle_effects/0,corvette_radialexplosion_revamp,effects/corvette_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/12/sounds/0,radialexplosion_corvette_01_large,sounds/RadialExplosion_Corvette_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/12/sounds/1,radialexplosion_corvette_02_large,sounds/RadialExplosion_Corvette_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/12/sounds/2,radialexplosion_corvette_03_large,sounds/RadialExplosion_Corvette_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/13/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/13/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/13/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/13/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/14/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/14/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/14/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/14/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/15/particle_effects/0,cruiser_radialexplosion_revamp,effects/cruiser_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/15/sounds/0,radialexplosion_cruiser_01_large,sounds/RADIALEXPLOSION_CRUISER_01_LARGE.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/15/sounds/1,radialexplosion_cruiser_02_large,sounds/RADIALEXPLOSION_CRUISER_02_LARGE.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/15/sounds/2,radialexplosion_cruiser_03_large,sounds/RADIALEXPLOSION_CRUISER_03_LARGE.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/2/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/2/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/2/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/2/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/3/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/3/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/3/sounds/1,radialexplosion_strikecraft_02_large,sounds/RadialExplosion_StrikeCraft_02_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/3/sounds/2,radialexplosion_strikecraft_03_large,sounds/RadialExplosion_StrikeCraft_03_Large.sound,casefold_stem
death_sequences/cruiser_001.death_sequence,/events/4/particle_effects/0,strikecraft_radialexplosion_revamp,effects/strikecraft_radialexplosion_revamp.particle_effect,exact_stem
death_sequences/cruiser_001.death_sequence,/events/4/sounds/0,radialexplosion_strikecraft_01_large,sounds/RadialExplosion_StrikeCraft_01_Large.sound,casefold_stem
